filename,error_type,speaker_code,native_language,gender,text,g2p_canonical,ipa_perceived,sub_edits,del_edits,add_edits,utt_id,true_sub,true_del,true_add,true_total
sub_0_ABA.wav,substitution,ABA,Arabic,m,for the twentieth time that evening the two men shook hands,fɔɹðʌtwɛntiʌθtaɪmðætivnɪŋðʌtumɛnʃʊkhændz,fɔˈɹðʌˈtwɛˈntiɪθtaɪˈmðæˈtiˈvnɪŋkðʌˈtuˈmɛˈnʃʊˈkhæˈnss,3,0,1,arctic_a0003,2,0,1,3
add_0_ABA.wav,addition,ABA,Arabic,m,for the twentieth time that evening the two men shook hands,fɔɹðʌtwɛntiʌθtaɪmðætivnɪŋðʌtumɛnʃʊkhændz,fɔˈɹðʌˈtwɛˈntiɪθtaɪˈmðæˈtiˈvnɪŋkðʌˈtuˈmɛˈnʃʊˈkhæˈnss,3,0,1,arctic_a0003,2,0,1,3
sub_1_ABA.wav,substitution,ABA,Arabic,m,will we ever forget it,wɪlwiɛvɝfɝɡɛtɪt,wɪˈlwiˈɛˈvʌfɔɹɡɛˈtɛt,4,0,0,arctic_a0005,2,0,0,2
sub_2_ABA.wav,substitution,ABA,Arabic,m,god bless em i hope i'll go on seeing them forever,ɡɑdblɛsɛmaɪhoʊpaɪlɡoʊɑnsiɪŋðɛmfɝɛvɝ,ɡɑˈdblɛˈsðʌmaɪˈhoʊˈpaɪˈlɡoʊˈɔˈnsiˈɪŋðɛˈmfɝɛˈvʌ,4,0,0,arctic_a0006,1,0,1,2
sub_3_ABA.wav,substitution,ABA,Arabic,m,and you always want to see it in the superlative degree,ʌndjuɔlweɪzwɑnttusiɪtɪnðʌsʊpɝlʌtɪvdɪɡɹi,æˈndjuˈɔˈlwizwɔˈnttuˈsiˈɛtɛnðʌsʊbɝˈlʌtɪvdɪɡɹiˈ,7,0,0,arctic_a0007,4,0,0,4
sub_4_ABA.wav,substitution,ABA,Arabic,m,gad your letter came just in time,ɡædjɔɹlɛtɝkeɪmdʒʌstɪntaɪm,ɡæˈdjʊˈɹlɛˈtɹkeɪˈmdʒʌˈstɪntaɪˈm,2,0,0,arctic_a0008,2,0,0,2
sub_5_ABA.wav,substitution,ABA,Arabic,m,if i ever needed a fighter in my life i need one now,ɪfaɪɛvɝnidʌdʌfaɪtɝɪnmaɪlaɪfaɪnidwʌnnaʊ,ɪˈfaɪˈɛˈvəniˈdɪdʌfaɪˈtɝɪˈnmaɪˈlaɪˈfaɪˈniˈdwʌˈnnaʊˈ,2,0,0,arctic_a0011,1,0,0,1
sub_6_ABA.wav,substitution,ABA,Arabic,m,he was a head shorter than his companion of almost delicate physique,hiwɑzʌhɛdʃɔɹtɝðænhɪzkʌmpænjʌnʌvɔlmoʊstdɛlʌkʌtfʌzik,hiˈwɔˈzʌhɛˈdʃɔˈɹtɝðæˈnhɪˈzkʌmbæˈnjʌnʌˈvɔˈlmoʊˌstdɛˈlʌkeɪtfʌziˈk,4,0,0,arctic_a0013,2,0,0,2
sub_7_ABA.wav,substitution,ABA,Arabic,m,there was a change now,ðɛɹwɑzʌtʃeɪndʒnaʊ,zɛˈɹwɑˈzʌtʃeɪˈndʒnaʊˈ,1,0,0,arctic_a0018,2,0,0,2
sub_8_ABA.wav,substitution,ABA,Arabic,m,i followed the line of the proposed railroad looking for chances,aɪfɑloʊdðʌlaɪnʌvðʌpɹʌpoʊzdɹeɪlɹoʊdlʊkɪŋfɔɹtʃænsʌz,aɪˈfɑˈloʊdðʌlaɪˈnʌˈvðʌˈpɹʌpoʊˈzdɹeɪˈlɹoʊˌdlʊˈkɪŋfɔˈɹtʃæˈnsɪz,1,0,0,arctic_a0019,2,0,0,2
