filename,speaker,utt_id,xmin,xmax,canonical_phone,perceived_phone,error_type
sub_0_ABA.wav,ABA,arctic_a0003,3.0911764973319493,3.14,sil,K,addition
add_0_ABA.wav,ABA,arctic_a0003,3.0911764973319493,3.14,sil,K,addition
sub_0_ABA.wav,ABA,arctic_a0003,4.65,4.71,D,S,substitution
add_0_ABA.wav,ABA,arctic_a0003,4.65,4.71,D,S,substitution
sub_0_ABA.wav,ABA,arctic_a0003,4.71,4.87,Z,S,substitution
add_0_ABA.wav,ABA,arctic_a0003,4.71,4.87,Z,S,substitution
sub_1_ABA.wav,ABA,arctic_a0005,0.9,1.07,ER0,AH0,substitution
sub_1_ABA.wav,ABA,arctic_a0005,1.99,2.09,IH0,EH,substitution
sub_2_ABA.wav,ABA,arctic_a0006,0.93,1.0127483250638591,sil,DH,addition
sub_2_ABA.wav,ABA,arctic_a0006,4.57,4.66,ER0,AH0,substitution
sub_3_ABA.wav,ABA,arctic_a0007,2.28,2.4,IH1,EH,substitution
sub_3_ABA.wav,ABA,arctic_a0007,2.91,3.11,IH0,EH,substitution
sub_3_ABA.wav,ABA,arctic_a0007,4.0,4.07,P,B,substitution
sub_3_ABA.wav,ABA,arctic_a0007,4.69,4.76,R,R*,substitution
sub_4_ABA.wav,ABA,arctic_a0008,1.06,1.1195965980612608,R,R*,substitution
sub_4_ABA.wav,ABA,arctic_a0008,1.46,1.68,ER0,R*,substitution
sub_5_ABA.wav,ABA,arctic_a0011,0.73,0.81,ER0,AX,substitution
sub_6_ABA.wav,ABA,arctic_a0013,2.7,2.76,P,B,substitution
sub_6_ABA.wav,ABA,arctic_a0013,4.83,4.95,AH0,EY,substitution
sub_7_ABA.wav,ABA,arctic_a0018,0.03,0.16,DH,Z,substitution
sub_7_ABA.wav,ABA,arctic_a0018,0.19,0.26,R,R*,substitution
sub_8_ABA.wav,ABA,arctic_a0019,2.65,2.74,R,R*,substitution
sub_8_ABA.wav,ABA,arctic_a0019,2.9,3.04,R,R*,substitution
sub_9_ABA.wav,ABA,arctic_a0020,2.13,2.26,R,R*,substitution
sub_9_ABA.wav,ABA,arctic_a0020,2.26,2.44,UW1,AO,substitution
sub_9_ABA.wav,ABA,arctic_a0020,3.88,4.01,ER0,R*,substitution
del_0_ABA.wav,ABA,arctic_a0021,2.39,2.42,R,err,substitution
add_1_ABA.wav,ABA,arctic_a0021,2.39,2.42,R,err,substitution
del_0_ABA.wav,ABA,arctic_a0021,3.171350885000035,3.27,sil,K,addition
add_1_ABA.wav,ABA,arctic_a0021,3.171350885000035,3.27,sil,K,addition
sub_10_ABA.wav,ABA,arctic_a0022,0.26,0.36,R,err,substitution
del_1_ABA.wav,ABA,arctic_a0022,0.26,0.36,R,err,substitution
sub_10_ABA.wav,ABA,arctic_a0022,1.02,1.199044947548559,ER0,EH,substitution
del_1_ABA.wav,ABA,arctic_a0022,1.02,1.199044947548559,ER0,EH,substitution
sub_10_ABA.wav,ABA,arctic_a0022,1.199044947548559,1.3487640273903931,sil,R,addition
del_1_ABA.wav,ABA,arctic_a0022,1.199044947548559,1.3487640273903931,sil,R,addition
sub_10_ABA.wav,ABA,arctic_a0022,4.22,4.359830945248417,ER1,EH,substitution
del_1_ABA.wav,ABA,arctic_a0022,4.22,4.359830945248417,ER1,EH,substitution
sub_10_ABA.wav,ABA,arctic_a0022,4.359830945248417,4.39,sil,R,addition
